,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Baoshan,91,CN,1578290765,56,31.41,121.49,298.71,4.0
1,Cidreira,0,BR,1578290765,86,-30.17,-50.22,296.82,10.17
2,Vestmannaeyjar,96,IS,1578290765,81,63.44,-20.27,280.78,9.05
3,Khatanga,98,RU,1578290765,96,71.98,102.47,257.3,3.22
4,Hilo,90,US,1578290765,65,19.71,-155.08,299.15,3.6
5,Nikolskoye,75,RU,1578290766,79,59.7,30.79,271.15,5.0
6,Thompson,90,CA,1578290563,84,55.74,-97.86,258.15,4.1
7,Hobart,40,AU,1578290668,52,-42.88,147.33,295.93,8.2
8,Yellowknife,5,CA,1578290709,75,62.45,-114.38,245.37,3.1
9,Rikitea,32,PF,1578290766,75,-23.12,-134.97,297.74,6.77
10,Nome,1,US,1578290767,93,30.04,-94.42,288.71,2.6
11,Carnarvon,84,ZA,1578290767,58,-30.97,22.13,293.49,1.86
12,Lorengau,70,PG,1578290767,70,-2.02,147.27,302.9,4.05
13,Luleburgaz,75,TR,1578290763,86,41.4,27.36,276.15,13.9
14,East London,20,ZA,1578290767,88,-33.02,27.91,294.15,2.1
15,Sioux Lookout,90,CA,1578290767,67,50.1,-91.92,265.15,6.2
16,Port Augusta,14,AU,1578290767,60,-32.49,137.76,298.15,4.6
17,Saint George,75,GR,1578290767,38,39.45,22.34,279.15,7.2
18,Barrow,100,AR,1578290767,86,-38.31,-60.23,290.15,5.45
19,Hithadhoo,100,MV,1578290768,74,-0.6,73.08,302.08,6.29
20,San Luis de la Paz,0,MX,1578290768,30,21.3,-100.52,280.37,0.45
21,Jamestown,84,AU,1578290768,49,-33.21,138.6,297.49,3.1
22,Hamilton,90,CA,1578290768,97,43.26,-79.87,275.15,5.7
23,Kavieng,32,PG,1578290537,69,-2.57,150.8,303.13,4.26
24,Boa Vista,20,BR,1578290768,65,2.82,-60.67,300.15,3.1
25,Lebu,21,ET,1578290768,68,8.96,38.73,287.78,1.87
26,Sao Filipe,53,CV,1578290768,66,14.9,-24.5,293.58,9.01
27,Faanui,37,PF,1578290769,77,-16.48,-151.75,300.82,6.03
28,Husavik,14,CA,1578290769,89,50.56,-96.99,261.48,2.26
29,Mataura,100,NZ,1578290769,92,-46.19,168.86,282.59,9.83
30,Coihaique,40,CL,1578290769,66,-45.58,-72.07,283.15,1.0
31,Mar del Plata,49,AR,1578290769,43,-46.43,-67.52,285.72,8.62
32,Cayenne,75,GF,1578290577,94,4.94,-52.33,297.15,1.0
33,Pangai,75,TO,1578290769,74,-19.8,-174.35,301.15,4.1
34,Ponta do Sol,1,BR,1578290499,95,-20.63,-46.0,291.67,1.15
35,Kaitangata,100,NZ,1578290770,78,-46.28,169.85,283.71,6.26
36,Albany,75,US,1578290488,73,42.65,-73.75,270.93,1.24
37,Nuuk,100,GL,1578290770,84,64.17,-51.74,257.15,8.7
38,San Patricio,0,PY,1578290770,60,-26.98,-56.83,297.78,3.6
39,Iracoubo,12,GF,1578290770,78,5.48,-53.21,299.24,4.85
40,Kawalu,76,ID,1578290770,70,-7.38,108.21,301.31,3.36
41,Mahebourg,100,MU,1578290770,85,-20.41,57.7,299.26,3.13
42,Debre Tabor,91,ET,1578290770,61,11.86,38.01,290.84,1.81
43,Souillac,0,FR,1578290545,88,45.6,-0.6,275.37,1.5
44,Mao,40,DO,1578290771,94,19.55,-71.08,296.15,0.53
45,Ushuaia,75,AR,1578290771,75,-54.81,-68.31,280.15,9.3
46,Chuy,1,UY,1578290542,86,-33.69,-53.46,294.37,5.42
47,Price,1,US,1578290771,73,39.6,-110.81,268.71,3.03
48,Hare Bay,90,CA,1578290771,92,48.86,-53.99,269.15,11.3
49,Neuquen,0,AR,1578290771,41,-38.95,-68.06,289.15,8.2
50,Bethel,1,US,1578290772,75,60.79,-161.76,246.15,3.6
51,Kapaa,75,US,1578290772,83,22.08,-159.32,297.15,7.7
52,Cabo San Lucas,40,MX,1578290586,77,22.89,-109.91,293.71,3.1
53,Cape Town,20,ZA,1578290772,63,-33.93,18.42,292.04,3.1
54,Ankang,100,CN,1578290772,97,32.73,108.99,273.75,1.01
55,Chicama,75,PE,1578290772,88,-7.84,-79.15,294.15,3.6
56,Norman Wells,20,CA,1578290773,65,65.28,-126.83,233.15,1.5
57,Provideniya,49,RU,1578290773,72,64.42,-173.23,248.86,3.14
58,Nyurba,98,RU,1578290773,95,63.29,118.35,260.92,2.62
59,Joshimath,96,IN,1578290773,38,30.57,79.57,277.96,0.38
60,Vila Franca do Campo,40,PT,1578290773,93,37.72,-25.43,291.15,8.2
61,Beidao,88,CN,1578290773,57,34.57,105.89,274.36,2.74
62,Satao,0,PT,1578290773,94,40.74,-7.73,276.48,0.45
63,Indramayu,5,ID,1578290773,55,-4.05,103.78,304.74,3.68
64,Punta Arenas,75,CL,1578290773,75,-53.16,-70.91,281.15,3.1
65,Lyubytino,100,RU,1578290774,86,58.81,33.39,269.3,4.1
66,Upernavik,94,GL,1578290774,98,72.79,-56.15,238.34,7.16
67,Meridian,50,US,1578290774,100,43.61,-116.39,273.71,4.22
68,Saint-Philippe,40,CA,1578290774,92,45.36,-73.48,264.26,0.75
69,Vaini,75,IN,1578290774,73,15.34,74.49,296.15,4.1
70,Cockburn Town,26,TC,1578290774,73,21.46,-71.14,298.15,3.05
71,Bluff,87,AU,1578290774,46,-23.58,149.07,303.98,6.78
72,Komsomolskiy,100,RU,1578290774,94,67.55,63.78,259.52,7.88
73,Jumla,29,NP,1578290774,19,29.28,82.18,281.9,1.53
74,Vagur,100,FO,1578290775,84,61.47,-6.81,282.54,19.77
75,Hermanus,100,ZA,1578290775,76,-34.42,19.24,292.04,3.04
76,Busselton,32,AU,1578290775,10,-33.64,115.35,305.93,5.21
77,Batticaloa,3,LK,1578290775,68,7.71,81.69,302.55,4.85
78,Rocha,0,UY,1578290546,94,-34.48,-54.34,291.2,5.14
79,Puerto Ayora,3,EC,1578290775,81,-0.74,-90.35,297.59,2.68
80,Hervey Bay,40,AU,1578290775,54,-25.3,152.85,302.15,7.2
81,Port Hardy,75,CA,1578290775,100,50.7,-127.42,274.15,2.1
